URL,Response Code,News Error,Detected,Category
http://www.tescoentertainment.com/store/artist/florence-and-the-machine/p%3A1009530/,410,,3/7/12,Not found
http://www.tescoentertainment.com/store/artist/rebecca-ferguson/p%3A1668042/,410,,2/8/12,Not found
http://www.tescoentertainment.com/store/artist/kate-nash/p%3A794009/,410,,3/4/12,Not found
http://www.tescoentertainment.com/store/artist/gracie-fields/p%3A21786/,410,,3/2/12,Not found
http://www.tescoentertainment.com/store/artist/kasabian/p%3A629895/,410,,2/16/12,Not found
http://www.tescoentertainment.com/store/artist/david-gray/p%3A64612/,410,,2/17/12,Not found
http://www.tescoentertainment.com/store/browse/dvd/tvpagedoctorwho/,404,,3/5/12,Not found
http://www.tescoentertainment.com/store/dvd/inception/8:709122/,404,,3/6/12,Not found
http://www.tescoentertainment.com/store/games/-tron-evolution/8%3A728669/,404,,11/15/11,Not found
http://www.tescoentertainment.com/tesco/9993865.product,404,,1/7/12,Not found
http://www.tescoentertainment.com/tesco/10034687.product,404,,11/21/11,Not found
http://www.tescoentertainment.com/store/artist/taylor-swift/p%3A766941/,410,,2/7/12,Not found
http://www.tescoentertainment.com/store/artist/kenny-rogers/p%3A74891/,410,,3/7/12,Not found
http://www.tescoentertainment.com/store/artist/olly-murs/p%3A1522606/,410,,2/8/12,Not found
http://www.tescoentertainment.com/store/artist/la-roux/p%3A169445/,410,,2/3/12,Not found
http://www.tescoentertainment.com/store/artist/ministry-of-sound/p%3A1264910/,410,,2/7/12,Not found
http://www.tescoentertainment.com/store/artist/johnny-cash/p%3A1290/,404,,2/14/12,Not found
http://www.tescoentertainment.com/store/games/-deus-ex-human-revolution/8%3A728347/,404,,11/19/11,Not found
http://www.tescoentertainment.com/store/artist/will-young/p%3A481426/,410,,2/9/12,Not found
http://www.tescoentertainment.com/store/artist/disney/p%3A22508/,410,,3/8/12,Not found
http://www.tescoentertainment.com/store/artist/drake/p%3A854482/,410,,2/5/12,Not found
http://www.tescoentertainment.com/store/artist/blink182/p%3A181456/,404,,2/12/12,Not found
http://www.tescoentertainment.com/store/games/sony-playstation-3-the-darkness-ii--limited-edition/8%3A787705,404,,2/20/12,Not found
http://www.tescoentertainment.com/store/artist/manic-street-preachers/p%3A10209/,410,,2/2/12,Not found
http://www.tescoentertainment.com/store/browse/blu-ray/bluraypriceblitzfrom699/,404,,3/7/12,Not found
